cik,fyear,datadate,log_at,leverage,roa,xrdint,tobinq,refer_tobins_q,form_date,Supplier & Manufacturing Collaboration,Customer & Community Engagement,Strategic & Joint Partnerships,IP & Technology Licensing,Industry-Academia & Research Collaboration,Technology & Platform Ecosystems,Open Innovation & Ecosystem Strategy,Marketing & Commercialization Cooperation,OIP
0000002969,2022,2022-09-30,10.210700156445844,0.5462956833844502,0.08296742496120268,0.008070600392038371,2.394724685024602,2.20484582202511,2021-11-18,0.0,0.0,0.0,0.0,0.007032348804500703,0.01969057665260197,0.0,0.007032348804500703,0.06469760900140648
0000002969,2023,2023-09-30,10.373569303730264,0.5763955940942114,0.0718756347160378,0.008346027201377148,2.4783588782126396,2.3124155925318335,2022-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169971671388102,0.06515580736543909
0000002969,2024,2024-09-30,10.585942777307103,0.6170270830280028,0.0967337635756268,0.008246485209665644,2.201157795151436,2.0522036685146534,2023-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013927576601671309,0.05013927576601671
0000004127,2022,2022-09-30,9.090858393934143,0.20597714620568416,0.1437039374337939,0.1067377456761457,1.9230830084067707,1.8114848204827698,2021-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008683068017366137,0.030390738060781478
0000004127,2023,2023-09-30,9.039160515281063,0.18933864976799933,0.11662928548542133,0.11969034121265121,2.1442682188757165,2.0452140220964314,2022-11-23,0.0,0.0,0.0,0.0,0.0,0.026200873362445413,0.0,0.0,0.040756914119359534
0000004127,2024,2024-09-30,9.021996718703699,0.17769488005987955,0.07195199980684028,0.17108908953138663,2.1416492219284584,2.05156435237164,2023-11-17,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.008620689655172414,0.0,0.034482758620689655
0000006281,2022,2022-10-31,10.825807074678409,0.05296573619323948,0.05464080703983015,0.1323828284201544,1.7190612867987283,1.5819405554611263,2021-12-03,0.007122507122507123,0.01566951566951567,0.0,0.0,0.0,0.008547008547008548,0.0,0.01282051282051282,0.07264957264957266
0000006281,2023,2023-10-31,10.79537242970094,0.07165517786664302,0.06792938741961745,0.12655720016778055,1.8712415872140287,1.7512399353877706,2022-11-22,0.0071633237822349575,0.008595988538681949,0.0,0.014326647564469915,0.015759312320916905,0.0,0.015759312320916905,0.008595988538681949,0.09742120343839542
0000006281,2024,2024-10-31,10.78370078777217,0.07584965143996332,0.03390693389274512,0.14654525577484512,2.566560353586756,2.4611538724470705,2023-11-21,0.014064697609001406,0.01969057665260197,0.0,0.01969057665260197,0.0,0.012658227848101266,0.0,0.016877637130801686,0.07735583684950774
0000320193,2024,2024-09-30,12.807597836542806,0.1531974354759165,0.25682503150857583,0.07716749939748871,10.494386371855992,9.976629234478601,2023-11-03,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.045572916666666664,0.0625
